scenario,policy,run,total_cost,stockouts,service_level,collapse_events,avg_backorders,avg_inventory,time_to_first_collapse
leadtime_shock_50,traditional,170,8276934600.600728,16381.0,0.3301231600019821,16362.0,33425.78832451942,25.738419730756018,1.0
leadtime_shock_50,traditional,171,8280613635.578161,16384.0,0.32891070582682835,16367.0,33495.5605581081,26.215539996709325,1.0
leadtime_shock_50,traditional,172,8223885597.961992,16384.0,0.3315731805648318,16366.0,33256.67675880634,25.968689685836665,1.0
leadtime_shock_50,traditional,173,8281979239.429327,16384.0,0.3288529485387677,16365.0,33508.24170717197,26.451090281176807,1.0
leadtime_shock_50,traditional,174,8253910243.315128,16384.0,0.3311444708210489,16364.0,33372.21120347339,26.486836784840946,1.0
leadtime_shock_50,traditional,175,8253522501.343098,16383.0,0.3309767358879306,16361.0,33362.79622865135,26.000833501269295,1.0
leadtime_shock_50,traditional,176,8243983346.714468,16384.0,0.33195410096154615,16365.0,33339.269425547296,25.24525950044243,1.0
leadtime_shock_50,traditional,177,8279129416.749205,16388.0,0.3305448173871989,16366.0,33461.24248095955,26.555872756358283,1.0
leadtime_shock_50,traditional,178,8284448090.043027,16384.0,0.32977779330484797,16361.0,33492.073129373646,25.37258327023958,1.0
leadtime_shock_50,traditional,179,8263053920.187248,16383.0,0.32979482432590185,16361.0,33470.88524610844,26.314747582040198,1.0
leadtime_shock_50,traditional,180,8256765259.80671,16383.0,0.33141627219709313,16365.0,33368.55765186454,25.312405436306403,1.0
leadtime_shock_50,traditional,181,8259073619.463258,16385.0,0.33115479657672203,16369.0,33360.76460104166,25.007906695134167,1.0
leadtime_shock_50,traditional,182,8282798529.912223,16385.0,0.3298466292704407,16363.0,33469.855868906685,25.803103565565355,1.0
leadtime_shock_50,traditional,183,8292972186.880569,16385.0,0.32884358533475727,16363.0,33506.76239874136,26.18907507393069,1.0
leadtime_shock_50,traditional,184,8285572656.362871,16382.0,0.3279136790817924,16365.0,33522.151727414464,26.16321226094299,1.0
leadtime_shock_50,traditional,185,8295383281.179777,16381.0,0.3274194151492299,16362.0,33548.931876240065,26.3861340197872,2.0
leadtime_shock_50,traditional,186,8268407839.591581,16383.0,0.3292668064090668,16362.0,33440.1601137408,25.797617843760268,1.0
leadtime_shock_50,traditional,187,8253505530.529061,16385.0,0.33104134408365893,16364.0,33380.7318970122,25.825619623357667,1.0
leadtime_shock_50,traditional,188,8259174714.279454,16385.0,0.33125771411442734,16361.0,33427.28554658783,25.85045022564367,1.0
leadtime_shock_50,traditional,189,8279658374.362486,16384.0,0.32939438661519693,16363.0,33468.445760005256,26.269402197884393,1.0
leadtime_shock_50,traditional,190,8275067942.4184,16380.0,0.3306654477753955,16364.0,33385.54630851216,25.132001219858445,1.0
leadtime_shock_50,traditional,191,8246604086.127215,16386.0,0.3310841664400559,16362.0,33328.23136350161,25.4080025739341,1.0
leadtime_shock_50,traditional,192,8280924980.611714,16382.0,0.32891641602626465,16358.0,33479.204101392315,25.756428053834203,1.0
leadtime_shock_50,traditional,193,8271845472.728009,16380.0,0.32932518674357597,16362.0,33422.88942159668,25.028878216412533,2.0
leadtime_shock_50,traditional,194,8273054335.162594,16386.0,0.3295308338832097,16367.0,33392.0837814732,25.681874931979035,1.0
leadtime_shock_50,traditional,195,8260300991.150401,16384.0,0.33014431239113134,16365.0,33435.7720075859,25.319659650121775,1.0
leadtime_shock_50,traditional,196,8247946493.890445,16383.0,0.3327914113955736,16365.0,33277.358431760564,25.07377663802802,1.0
leadtime_shock_50,traditional,197,8261075853.369412,16382.0,0.33011863197075625,16362.0,33399.23083832419,25.964542501232227,1.0
leadtime_shock_50,traditional,198,8265717171.167528,16383.0,0.3310382332762593,16363.0,33402.99765473117,26.75043741868445,1.0
leadtime_shock_50,traditional,199,8260794249.723976,16385.0,0.33083454222409153,16366.0,33359.012449985596,25.255272810452553,1.0
leadtime_shock_50,traditional,200,8262615980.60683,16380.0,0.33073406310589226,16370.0,33405.071262278674,26.254413902757506,1.0
leadtime_shock_50,traditional,201,8251319424.402348,16382.0,0.32986010875270416,16362.0,33372.60024679491,26.038186122817702,1.0
leadtime_shock_50,traditional,202,8291248417.140305,16384.0,0.32944263722449657,16360.0,33491.52559585198,25.653170854449815,1.0
leadtime_shock_50,traditional,203,8293620134.689677,16383.0,0.32824283787099695,16360.0,33516.29320532399,26.626259287515342,1.0
leadtime_shock_50,traditional,204,8279607891.012147,16383.0,0.32900877831093966,16363.0,33443.26292700059,26.016065500711083,1.0
leadtime_shock_50,traditional,205,8241345548.404286,16385.0,0.3314587687987321,16363.0,33331.82794887476,24.852112102001545,1.0
leadtime_shock_50,traditional,206,8245082773.877419,16384.0,0.33187300658371655,16364.0,33358.441869770475,25.01599422741265,1.0
leadtime_shock_50,traditional,207,8265142063.857336,16384.0,0.32955912575635793,16358.0,33408.595838978385,25.609383329600096,1.0
leadtime_shock_50,traditional,208,8292166741.500221,16385.0,0.33000859513243974,16361.0,33480.54641527586,25.975475730171873,1.0
leadtime_shock_50,traditional,209,8265796423.603612,16385.0,0.3299587651772281,16366.0,33391.52101601227,26.296274825862067,1.0
leadtime_shock_50,traditional,210,8271878656.783838,16389.0,0.32925256636404154,16370.0,33442.91122190789,25.499277247373257,1.0
leadtime_shock_50,traditional,211,8272222267.523861,16385.0,0.33127685950861574,16363.0,33440.605061938586,26.01983497130218,1.0
leadtime_shock_50,traditional,212,8261984169.749486,16386.0,0.3301945217279149,16363.0,33390.454119693204,26.087794355456875,1.0
leadtime_shock_50,traditional,213,8252959925.338438,16383.0,0.33066852431972177,16364.0,33373.42103000523,25.175382753998825,1.0
leadtime_shock_50,traditional,214,8275681430.627023,16383.0,0.3295030318096229,16365.0,33433.19491247708,26.619790744175702,1.0
leadtime_shock_50,traditional,215,8252567338.228619,16386.0,0.33066160383046717,16365.0,33348.46126465165,25.718305903016056,1.0
leadtime_shock_50,traditional,216,8288377302.062982,16383.0,0.3284533770364072,16369.0,33501.82861862321,26.059453843675882,1.0
leadtime_shock_50,traditional,217,8285657517.258308,16388.0,0.3298645926098365,16366.0,33435.91490394275,25.5237746456007,1.0
leadtime_shock_50,traditional,218,8240766827.502007,16385.0,0.3314899034540896,16366.0,33299.13778675938,25.386240666585245,1.0
leadtime_shock_50,traditional,219,8287854496.071001,16386.0,0.3284006262577561,16366.0,33553.334244642916,26.26660833562998,1.0
leadtime_shock_50,traditional,220,8252728978.890297,16385.0,0.3301526621712542,16368.0,33387.48999339778,25.992816888021363,1.0
leadtime_shock_50,traditional,221,8235243452.922431,16387.0,0.33148021479771866,16367.0,33298.33434949771,26.370341993737014,1.0
leadtime_shock_50,traditional,222,8269298416.593934,16385.0,0.3295100439965394,16362.0,33474.5481823288,26.69186666734486,1.0
